name,description,ingredients,steps,category,difficulty,alcoholLevel,imageUrl,videoUrl,isPremium
Cosmopolitan,Cocktail trái cây quyến rũ biểu tượng của sự hiện đại và cá tính,15ml Vodka; 30ml Rượu mùi cam Cointreau; 15ml Nước chanh tươi; 10ml Nước ép nam việt quất; Vỏ cam để trang trí,Lắc đều các nguyên liệu (trừ vỏ cam) với đá trong bình lắc; Lọc vào ly đã làm lạnh; Trang trí với vỏ cam,Vodka,Trung bình,Trung bình,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,,FALSE
Bloody Mary,Cocktail đậm đà thường được dùng vào buổi sáng hoặc như một thức uống giải rượu,45ml Vodka; 90ml Nước ép cà chua; 15ml Nước cốt chanh; 2 giọt sốt Worcestershire; Muối và tiêu để nêm; Cần tây để trang trí,Cho tất cả nguyên liệu vào bình lắc với đá; Lắc đều; Rót vào ly đã có đá viên; Trang trí với cần tây,Vodka,Trung bình,Trung bình,https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg,,FALSE
Screwdriver,Cocktail cổ điển đơn giản với vị cam tươi mát,45ml Vodka; 90ml Nước cam tươi; Lát cam để trang trí,Rót vodka vào ly đã có đá viên; Thêm nước cam vào và khuấy nhẹ; Trang trí với lát cam,Vodka,Dễ,Trung bình,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,,FALSE
Mojito,Cocktail Cuba truyền thống với vị bạc hà tươi mát và sảng khoái,60ml Rượu Rum trắng; 30ml Nước soda; 6-8 lá bạc hà tươi; 15ml Nước cốt chanh; 15ml Syrup đường; Đá viên,Cho lá bạc hà syrup đường và nước cốt chanh vào ly dầm nhẹ; Thêm đá viên và rượu rum; Đổ soda lên trên và khuấy nhẹ; Trang trí với lá bạc hà và lát chanh,Rum,Dễ,Thấp,https://www.thecocktaildb.com/images/media/drink/metwgh1606770327.jpg,,FALSE
Daiquiri,Cocktail cổ điển với sự cân bằng hoàn hảo giữa vị chua và ngọt,45ml White Rum; 30ml Nước cốt chanh; 30ml Syrup đường; Lát chanh để trang trí; Đá viên,Cho tất cả nguyên liệu vào bình lắc với đá; Lắc mạnh; Lọc vào ly đã làm lạnh; Trang trí với lát chanh,Rum,Dễ,Trung bình,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg,,FALSE
Gin Tonic,Cocktail kinh điển với vị đắng nhẹ của tonic hòa quyện cùng hương thảo mộc của gin,50ml Rượu Gin; 100ml Nước Tonic; Lát chanh hoặc dưa chuột để trang trí,Cho đá viên vào ly; Rót gin vào ly; Đổ nước tonic từ từ vào ly; Trang trí với lát chanh hoặc dưa chuột,Gin,Dễ,Trung bình,https://www.thecocktaildb.com/images/media/drink/k0508k1668422436.jpg,,FALSE
Gimlet,Cocktail gin tươi mát với vị chua của chanh và ngọt dịu của syrup,50ml Rượu Gin; 25ml Nước cốt chanh; 25ml Syrup đường; Lát chanh để trang trí,Cho tất cả nguyên liệu vào bình lắc với đá; Lắc đều; Lọc vào ly đã làm lạnh; Trang trí với lát chanh,Gin,Dễ,Trung bình,https://www.thecocktaildb.com/images/media/drink/3xgldt1513707271.jpg,,FALSE
Margarita,Cocktail Mexico nổi tiếng với vị chua của chanh và mặn của muối viền ly,50ml Tequila; 25ml Triple Sec; 25ml Nước cốt chanh tươi; Muối để viền ly; Lát chanh để trang trí,Làm ẩm mép ly và chấm vào đĩa muối để tạo viền; Cho tất cả nguyên liệu vào bình lắc với đá; Lắc mạnh; Lọc vào ly đã chuẩn bị; Trang trí với lát chanh,Tequila,Trung bình,Trung bình,https://www.thecocktaildb.com/images/media/drink/5noda61589575158.jpg,,FALSE
Tequila Sunrise,Cocktail phân tầng đẹp mắt với màu sắc của bình minh,45ml Tequila; 90ml Nước ép cam tươi; 15ml Syrup Grenadine; Lát cam và cherry để trang trí,Cho đá viên vào ly; Rót tequila và nước cam vào ly; Đổ grenadine từ từ để tạo lớp màu ở đáy; Trang trí với lát cam và cherry,Tequila,Dễ,Trung bình,https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,,FALSE
Whisky Sour,Cocktail cổ điển với vị chua ngọt cân bằng và lớp bọt mịn từ lòng trắng trứng,60ml Whisky; 30ml Nước cốt chanh tươi; 15ml Syrup đường; 1 lòng trắng trứng (tùy chọn); Vỏ chanh hoặc cherry để trang trí,Cho tất cả nguyên liệu vào bình lắc và lắc khô (không đá) khoảng 30 giây; Thêm đá và lắc mạnh lần hai; Lọc vào ly rocks có đá; Trang trí với vỏ chanh hoặc cherry,Whisky,Trung bình,Cao,https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg,,FALSE
Old Fashioned,"""Vua của các loại cocktail"" với vị mạnh mẽ và tinh tế",60ml Bourbon hoặc Rye Whisky; 2-3 giọt Angostura bitters; 1 thìa cà phê đường; 1 thìa cà phê nước; Vỏ cam xoắn để trang trí,Cho đường và bitters vào ly pha; Thêm nước và khuấy đến khi đường tan; Thêm đá và whisky vào; Khuấy nhẹ đến khi hỗn hợp lạnh; Vắt nhẹ tinh dầu từ vỏ cam lên bề mặt và thả vào ly,Whisky,Trung bình,Cao,https://www.thecocktaildb.com/images/media/drink/vrwquq1478252802.jpg,,FALSE
Sidecar,Cocktail Brandy thanh lịch với vị chua của chanh và ngọt của Cointreau,50ml Brandy; 25ml Cointreau; 25ml Nước cốt chanh tươi; Đường để viền ly (tùy chọn),Làm ẩm mép ly và chấm vào đĩa đường để tạo viền; Cho tất cả nguyên liệu vào bình lắc với đá; Lắc mạnh; Lọc vào ly đã làm lạnh,Brandy,Trung bình,Trung bình,https://www.thecocktaildb.com/images/media/drink/x72sik1606854964.jpg,,FALSE
Brandy Alexander,Cocktail béo ngậy và ngọt ngào hoàn hảo cho món tráng miệng,30ml Brandy; 30ml Crème de Cacao nâu; 30ml Kem tươi; Bột nhục đậu khấu để trang trí,Cho tất cả nguyên liệu vào bình lắc với đá; Lắc mạnh; Lọc vào ly cocktail đã làm lạnh; Rắc bột nhục đậu khấu lên trên,Brandy,Dễ,Thấp,https://www.thecocktaildb.com/images/media/drink/mlyk1i1606772340.jpg,,FALSE
Mocktail Dưa Hấu Margarita,Mocktail không cồn tươi mát với vị dưa hấu và chanh,1 trái dưa hấu (nạo lấy ruột); 100ml Nước cốt chanh; 4 muỗng nhỏ Mật ong hoặc syrup agave; 5 thìa canh Nước có gas (club soda); Đá viên,Xay nhuyễn ruột dưa hấu trong máy xay sinh tố; Thêm nước cốt chanh và mật ong vào trộn đều; Chia hỗn hợp ra ly; Thêm đá viên và đổ nước có gas lên trên trước khi dùng,Mocktail,Dễ,Thấp,https://www.thecocktaildb.com/images/media/drink/dztcv51598717861.jpg,,FALSE
Mocktail Xoài Moscow Mule,Mocktail không cồn với vị xoài ngọt ngào và gừng cay ấm,4-5 lát dưa leo; 2 thìa canh Mật ong; 1 trái xoài (gọt vỏ cắt hạt); 3 thìa canh Nước cốt chanh; 3 thìa canh Bia gừng không cồn; Đá viên,Xay nhuyễn xoài trong máy xay sinh tố; Dầm dưa leo và mật ong trong bình lắc; Thêm xoài nghiền nước cốt chanh và đá vào lắc đều; Lọc vào ly và thêm bia gừng lên trên,Mocktail,Dễ,Thấp,https://www.thecocktaildb.com/images/media/drink/ysxqxq1473349815.jpg,,FALSE
